crawl_timestamp,product_name,product_category_tree,retail_price,discounted_price,brand
2016-04-05 17:56:58+00:00,Rapter BNC-047 BNC Wire Connector,"[""Tools & Hardware >> Tools >> Hardware & Electricals >> Hardware >> Wire Joints & Connectors >> Rapter BNC-047 BNC Wire Connector (Silver, Pack ...""]",1299,899,Rapter
2016-04-05 17:56:58+00:00,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,"[""Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER...""]",8999,4990,Skayvon
2016-04-05 17:56:58+00:00,Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",899,449,Vishudh
2016-04-05 17:56:58+00:00,Behringer Xenyx 502 Analog Sound Mixer,"[""Behringer Xenyx 502 Analog Sound Mixer""]",10000,6600,Behringer
2016-04-05 17:56:58+00:00,Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",899,449,Vishudh
2016-04-05 17:56:58+00:00,Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",899,449,Vishudh
2016-04-05 17:56:58+00:00,MASARA Solid Women's Straight Kurta,"[""MASARA Solid Women's Straight Kurta""]",1399,599,MASARA
2016-04-05 17:56:58+00:00,MASARA Solid Women's Straight Kurta,"[""MASARA Solid Women's Straight Kurta""]",1399,550,MASARA
2016-04-05 17:56:58+00:00,Roadster Men's Zipper Solid Cardigan,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Cardigans >> Roadster Cardigans >> Roadster Men's Zipper Solid Cardigan""]",1399,699,Roadster
2016-04-05 17:56:58+00:00,Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",999,499,Vishudh
2016-04-05 17:56:58+00:00,Noor Embroidered Women's Straight Kurta,"[""Noor Embroidered Women's Straight Kurta""]",1649,849,Noor
2016-04-05 17:56:58+00:00,MASARA Solid Women's Straight Kurta,"[""MASARA Solid Women's Straight Kurta""]",1399,599,MASARA
2016-04-05 17:56:58+00:00,Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",899,449,Vishudh
2016-04-05 17:56:58+00:00,Libas Printed Women's A-line Kurta,"[""Libas Printed Women's A-line Kurta""]",899,449,Libas
2016-04-05 17:56:58+00:00,Libas Printed Women's Anarkali Kurta,"[""Libas Printed Women's Anarkali Kurta""]",1849,924,Libas
2016-04-05 17:56:58+00:00,MASARA Solid Women's Straight Kurta,"[""MASARA Solid Women's Straight Kurta""]",999,499,MASARA
2016-04-30 03:22:56+00:00,HRS ULTIMATE BOY Chest Pads,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS ULTIMATE BOY Chest Pads (WHITE, RIGHT-HANDED)""]",440,395,HRS
2016-04-30 03:22:56+00:00,Vermello Men Casual Brown Genuine Leather Belt,"[""Bags, Wallets & Belts >> Belts >> Vermello Belts >> Vermello Men Casual Brown Genuine Leather Belt (...""]",1495,795,Vermello
2016-04-30 03:22:56+00:00,HRS CLUB BOY Thigh Pads,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS CLUB BOY Thigh Pads (WHITE, RIGHT-HANDED)""]",280,250,HRS
2016-04-30 03:22:56+00:00,Ligans NY Men Formal Black Genuine Leather Belt,"[""Bags, Wallets & Belts >> Belts >> Ligans NY Belts >> Ligans NY Men Formal Black Genuine Leather Belt ...""]",795,695,Ligans NY
2016-04-30 03:22:56+00:00,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,"[""Home Furnishing >> Curtains & Accessories >> Curtains >> Elegance Polyester Multicolor Abstract Eyelet Do...""]",1899,899,Elegance
2016-04-30 03:22:56+00:00,Liza Women Wedges,"[""Footwear >> Women's Footwear >> Wedges >> Liza Women Wedges""]",1990,1393,Liza
2016-04-30 03:22:56+00:00,HRS ULTIMATE BOY Elbow Pads,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS ULTIMATE BOY Elbow Pads (WHITE, RIGHT-HANDED)""]",250,230,HRS
2016-04-30 03:22:56+00:00,Sathiyas Cotton Bath Towel,"[""Baby Care >> Baby Bath & Skin >> Baby Bath Towels >> Sathiyas Baby Bath Towels >> Sathiyas Cotton Bath Towel (3 Bath Towel, Red, Y...""]",600,449,Sathiyas
2016-04-30 03:22:56+00:00,HRS ULTIMATE MEN Chest Pads,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS ULTIMATE MEN Chest Pads (WHITE, RIGHT-HANDED)""]",440,395,HRS
2016-06-20 08:49:52+00:00,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,"[""Home Furnishing >> Bed Linen >> Bedsheets >> SANTOSH ROYAL FASHION Bedsheets >> SANTOSH ROYAL FASHION Cotton Printed King sized ...""]",2699,1299,SANTOSH ROYAL FASHION
2016-06-20 08:49:52+00:00,CASEDEAL Microsoft Nokia lumia x2 Back Panel,"[""Mobiles & Accessories >> Mobile Accessories >> Mobile Body Panels >> CASEDEAL Mobile Body Panels >> CASEDEAL Microsoft Nokia lumia x2 Back Panel (Wh...""]",1999,380,CASEDEAL
2016-06-20 08:49:52+00:00,Mario Gotze Women's Printed Casual Orange Shirt,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Shirts >> Mario Gotze Shirts >> Mario Gotze Women's Printed Casual Orange Shirt""]",1499,899,Mario Gotze
2016-06-20 08:49:52+00:00,Jaipur Print Cotton Floral King sized Double Bedsheet,"[""Home Furnishing >> Bed Linen >> Bedsheets >> Jaipur Print Bedsheets >> Jaipur Print Cotton Floral King sized Double Bed...""]",2599,698,Jaipur Print
2016-06-20 08:49:52+00:00,Shilpi NHSCN003 Coin Bank,"[""Pens & Stationery >> College Supplies >> Coin Banks >> Shilpi Coin Banks >> Shilpi NHSCN003 Coin Bank (Brown)""]",900,650,Shilpi
2016-06-20 08:49:52+00:00,Jaipur Print Cotton Floral King sized Double Bedsheet,"[""Home Furnishing >> Bed Linen >> Bedsheets >> Jaipur Print Bedsheets >> Jaipur Print Cotton Floral King sized Double Bed...""]",2599,698,Jaipur Print
2016-05-17 01:21:10+00:00,Babeezworld Dungaree Baby Boy's  Combo,"[""Baby Care >> Infant Wear >> Baby Boys' Clothes >> Combo Sets >> Babeezworld Combo Sets >> Babeezworld Dungaree Baby Boy's  Combo""]",999,499,Babeezworld
2016-06-06 22:03:00+00:00,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,"[""Home Decor & Festive Needs >> Table Decor & Handicrafts >> Showpiece >> Religious Idols >> Redbag Religious Idols >> Redbag Eight Armed Goddess Sherawali Maa Showpie...""]",1600,1200,Redbag
2016-06-06 22:03:00+00:00,"Proence Weight Gainers, Mass Gainers","[""Food & Nutrition >> Health & Nutrition >> Protein Supplements >> Proence Weight Gainers, Mass Gainers (60 No, Unf...""]",1025,949,Proence
2016-03-05 01:25:23+00:00,"ezyPRNT ""RH"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm","[""Sports & Fitness >> Other Sports >> Golf >> Golf Balls >> ezyPRNT Golf Balls >> ezyPRNT \""RH\"" Golf Ball -   Size: 4.26 cm,  Diame...""]",1195,595,ezyPRNT
2016-03-05 01:25:23+00:00,"ezyPRNT ""BC"" Golf Ball -   Size: 4,  Diameter: 4.26 cm","[""Sports & Fitness >> Other Sports >> Golf >> Golf Balls >> ezyPRNT Golf Balls >> ezyPRNT \""BC\"" Golf Ball -   Size: 4,  Diameter: 4...""]",1195,595,ezyPRNT
2016-03-05 01:25:23+00:00,"ezyPRNT ""OL"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm","[""Sports & Fitness >> Other Sports >> Golf >> Golf Balls >> ezyPRNT Golf Balls >> ezyPRNT \""OL\"" Golf Ball -   Size: 4.26 cm,  Diame...""]",1195,595,ezyPRNT
